EventID	Division	Round	Match No	Winner	Winner NOC	Loser	Loser NOC	Method	Score
presidents-cup-america-2026	Senior Men -87kg	R32	1201	CHUA James	USA	NWOGBAGA Ifunanya	USA	PTF	2:0
presidents-cup-america-2026	Senior Men -87kg	R32	1202	ROMERO Bruno	MEX	RAMOS Juan Luis	CHI	RSC	1:1
presidents-cup-america-2026	Senior Men -87kg	R32	1203	SOUZA Allif	BRA	MUTZ Gerald	USA	PTF	2:0
presidents-cup-america-2026	Senior Men -87kg	R16	1209	MEIRELLES Arthur	BRA	CHUA James	USA	PTF	2:0
presidents-cup-america-2026	Senior Men -87kg	R16	1210	CASTRO Sebastian	PER	DASENT-THOMSON Dan	TTO	PTF	2:0
presidents-cup-america-2026	Senior Men -87kg	R16	1211	ROMERO Bruno	MEX	BERNARDEZ Wilmer	HON	WDR	
presidents-cup-america-2026	Senior Men -87kg	R16	1212	SOUZA Allif	BRA	DI Mateo	ARG	PTF	2:1
presidents-cup-america-2026	Senior Men -87kg	QF	1225	MEIRELLES Arthur	BRA	CASTRO Sebastian	PER	PTF	2:0
presidents-cup-america-2026	Senior Men -87kg	QF	1226	ROMERO Bruno	MEX	SOUZA Allif	BRA	PTF	2:1
presidents-cup-america-2026	Senior Men -87kg	SF	1233	MEIRELLES Arthur	BRA	ROMERO Bruno	MEX	PTF	2:0
presidents-cup-america-2026	Senior Men -87kg	R32	1204	GONCALVES Luiz Edu	BRA	OSORIO Yesid F.	PUR	PTF	2:0
presidents-cup-america-2026	Senior Men -87kg	R32	1205	SOLO Maicol Stiwar	COL	SOW Abou	USA	PTF	2:0
presidents-cup-america-2026	Senior Men -87kg	R32	1206	CECIL Chaney	USA	HUYNH Kevin	USA	PTF	2:0
presidents-cup-america-2026	Senior Men -87kg	R32	1207	CORRO Thiago Joaqu	ARG	ANDRADE Hassani	PER	PTF	2:1
presidents-cup-america-2026	Senior Men -87kg	R16	1213	GONCALVES Luiz Edu	BRA	ALVAREZ Luis	VEN	PTF	2:0
presidents-cup-america-2026	Senior Men -87kg	R16	1214	SOLO Maicol Stiwar	COL	CASTILLO Sergio	USA	PTF	2:0
presidents-cup-america-2026	Senior Men -87kg	R16	1215	GONZÁLEZ Gabriel	WT	CECIL Chaney	USA	RSC	2:0
presidents-cup-america-2026	Senior Men -87kg	R16	1216	RODRIGUEZ Michael	USA	CORRO Thiago Joaqu	ARG	PTF	2:0
presidents-cup-america-2026	Senior Men -87kg	QF	1227	GONCALVES Luiz Edu	BRA	SOLO Maicol Stiwar	COL	PTF	2:0
presidents-cup-america-2026	Senior Men -87kg	QF	1228	RODRIGUEZ Michael	USA	GONZÁLEZ Gabriel	WT	PTF	2:0
presidents-cup-america-2026	Senior Men -87kg	SF	1234	RODRIGUEZ Michael	USA	GONCALVES Luiz Edu	BRA	PTF	2:1
presidents-cup-america-2026	Senior Men -87kg	F	1237	RODRIGUEZ Michael	USA	MEIRELLES Arthur	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -80kg	R32	1101	GOMEZTAGLE Uriel	MEX	MERCIER Charlélie	CAN	PTF	2:0
presidents-cup-america-2026	Senior Men -80kg	R32	1102	ORTOGALLI Kaua	BRA	VILLA Jose Anderso	ECU	PTF	2:0
presidents-cup-america-2026	Senior Men -80kg	R32	1103	ASSIS Vinicius	BRA	SOTO Luis German	COL	PTF	2:1
presidents-cup-america-2026	Senior Men -80kg	R16	1113	CHURCHILL Joaquin	CHI	GOMEZTAGLE Uriel	MEX	PTF	2:0
presidents-cup-america-2026	Senior Men -80kg	R16	1114	POLICELI Santino	ARG	GONZALEZ Federico	URU	PTF	2:1
presidents-cup-america-2026	Senior Men -80kg	R16	1115	BOURIEL Ayoub	CAN	ORTOGALLI Kaua	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -80kg	R16	1116	YOUNG Isaiah	USA	ASSIS Vinicius	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -80kg	QF	1129	CHURCHILL Joaquin	CHI	POLICELI Santino	ARG	PTF	2:0
presidents-cup-america-2026	Senior Men -80kg	QF	1130	YOUNG Isaiah	USA	BOURIEL Ayoub	CAN	PTF	2:1
presidents-cup-america-2026	Senior Men -80kg	SF	1137	CHURCHILL Joaquin	CHI	YOUNG Isaiah	USA	PTF	2:1
presidents-cup-america-2026	Senior Men -80kg	R32	1104	HURTADO Jose Migue	MEX	TEIXEIRA Ryan Henr	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -80kg	R32	1105	NAVA Ruben	MEX	RODRIGUES Andreyck	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -80kg	R16	1117	RODRIGUES Henrique	BRA	HURTADO Jose Migue	MEX	PTF	2:0
presidents-cup-america-2026	Senior Men -80kg	R16	1118	TREJOS Miguel	COL	SOTO Amaury	PUR	PTF	2:0
presidents-cup-america-2026	Senior Men -80kg	R16	1119	ROBLETO David	NCA	FLORES Alejandro	WT	PTF	2:0
presidents-cup-america-2026	Senior Men -80kg	R16	1120	NICKOLAS Cj	USA	NAVA Ruben	MEX	PTF	2:0
presidents-cup-america-2026	Senior Men -80kg	QF	1131	RODRIGUES Henrique	BRA	TREJOS Miguel	COL	PTF	2:0
presidents-cup-america-2026	Senior Men -80kg	QF	1132	NICKOLAS Cj	USA	ROBLETO David	NCA	PTF	2:0
presidents-cup-america-2026	Senior Men -80kg	SF	1138	NICKOLAS Cj	USA	RODRIGUES Henrique	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -80kg	F	1141	NICKOLAS Cj	USA	CHURCHILL Joaquin	CHI	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R64	901	LAM Ka Hei Tank	HKG	DIAZ Luis Miguel	DOM	PTF	2:1
presidents-cup-america-2026	Senior Men -74kg	R32	903	RODRIGUES Victor	USA	LAM Ka Hei Tank	HKG	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R32	904	AMARAL Matheus Leo	BRA	QUINTEROS Damian M	ARG	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R32	905	SHANAFELT Noah	USA	ALVES Joao Paulo	BRA	PTF	2:1
presidents-cup-america-2026	Senior Men -74kg	R32	906	MOSTELLER Barron	USA	FABI Enzo	CAN	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R32	907	DOS Daniel Rogerio	BRA	PAZ David Felipe	COL	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R32	908	ROMMEL Luis Ricard	PER	FRUTUOSO Joao Vito	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R32	909	PONTES Edival	BRA	MAZZANTI Santino	ARG	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R32	910	ALEXANDER Daniel	USA	PELLERIN Vincent	CAN	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R16	919	RODRIGUES Victor	USA	AMARAL Matheus Leo	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R16	920	SHANAFELT Noah	USA	MOSTELLER Barron	USA	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R16	921	DOS Daniel Rogerio	BRA	ROMMEL Luis Ricard	PER	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R16	922	PONTES Edival	BRA	ALEXANDER Daniel	USA	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	QF	927	RODRIGUES Victor	USA	SHANAFELT Noah	USA	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	QF	928	PONTES Edival	BRA	DOS Daniel Rogerio	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	SF	931	RODRIGUES Victor	USA	PONTES Edival	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R64	902	RIBEIRO Nickollas	BRA	CERDA Natan	ARG	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R32	911	CASAS Iker	MEX	BENITEZ Adrian	PUR	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R32	912	TAYLOR Finn	CAN	AURORA Franco	PER	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R32	913	MCCRAY Josiah	ISV	LOPEZ-ZACAPALA Fer	USA	PTF	2:1
presidents-cup-america-2026	Senior Men -74kg	R32	914	LALOAN Sean Jaylen	HAI	GIRAO Gabriel	USA	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R32	915	RUIZ Angel Cristob	MEX	PONCE Gabriel	CHI	PTF	2:1
presidents-cup-america-2026	Senior Men -74kg	R32	916	RODRIGUES Diego	BRA	GARCIA Juan Andres	COL	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R32	917	MORALES Ignacio	CHI	PEREIRA Gabriel	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R32	918	RIBEIRO Nickollas	BRA	TAM Ching Nam	HKG	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R16	923	CASAS Iker	MEX	TAYLOR Finn	CAN	PTF	2:1
presidents-cup-america-2026	Senior Men -74kg	R16	924	LALOAN Sean Jaylen	HAI	MCCRAY Josiah	ISV	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R16	925	RODRIGUES Diego	BRA	RUIZ Angel Cristob	MEX	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	R16	926	MORALES Ignacio	CHI	RIBEIRO Nickollas	BRA	RSC	1:0
presidents-cup-america-2026	Senior Men -74kg	QF	929	CASAS Iker	MEX	LALOAN Sean Jaylen	HAI	PTF	2:0
presidents-cup-america-2026	Senior Men -74kg	QF	930	MORALES Ignacio	CHI	RODRIGUES Diego	BRA	PTF	2:1
presidents-cup-america-2026	Senior Men -74kg	SF	932	CASAS Iker	MEX	MORALES Ignacio	CHI	PTF	2:1
presidents-cup-america-2026	Senior Men -74kg	F	933	RODRIGUES Victor	USA	CASAS Iker	MEX	PTF	2:1
presidents-cup-america-2026	Senior Men -68kg	R64	801	FERREIRA João Vito	BRA	WILCOX Sheldon	USA	PTF	2:1
presidents-cup-america-2026	Senior Men -68kg	R32	803	RODRIGUEZ Maikol	USA	FERREIRA João Vito	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R32	804	FREDRICKS Justin	USA	GONZALES Julio Jos	PER	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R32	805	PARK Braven	CAN	SANDOVAL Renato Jo	PER	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R32	806	PERRON Olivier	CAN	LOPEZ Matias	URU	DSQ	
presidents-cup-america-2026	Senior Men -68kg	R32	807	ROMERO Ian	PAN	SARDINHA Mateus	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R32	808	GOMEZ Leonardo	MEX	TAPIA Vicente	CHI	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R32	809	STANG Thiago Valen	ARG	HUAMANI Leandro	PER	PTF	2:1
presidents-cup-america-2026	Senior Men -68kg	R32	810	ALMEIDA Fillipe	BRA	HILAL Ali	CAN	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R16	819	RODRIGUEZ Maikol	USA	FREDRICKS Justin	USA	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R16	820	PARK Braven	CAN	PERRON Olivier	CAN	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R16	821	GOMEZ Leonardo	MEX	ROMERO Ian	PAN	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R16	822	ALMEIDA Fillipe	BRA	STANG Thiago Valen	ARG	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	QF	827	RODRIGUEZ Maikol	USA	PARK Braven	CAN	RSC	2:0
presidents-cup-america-2026	Senior Men -68kg	QF	828	ALMEIDA Fillipe	BRA	GOMEZ Leonardo	MEX	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	SF	831	RODRIGUEZ Maikol	USA	ALMEIDA Fillipe	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R64	802	HARRIS Khalfani	USA	JUMANAN Marc-danie	USA	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R32	811	SOUZA João Victor	BRA	FORTIN Jacob	CAN	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R32	812	PANOTES Jordan	USA	CHAVEZ Matias	MEX	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R32	813	FLORES Diego	CHI	SUAREZ Aaron Aleja	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R32	814	GARRIDO Jhon Deivi	COL	DE Luis	PUR	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R32	815	ACUÑA Jose Luis	ARG	CARRASQUILLO Gael	PUR	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R32	816	VALDES David	MEX	GOMEZ Daniel Felip	COL	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R32	817	GOMES João Vitor	BRA	DE Nicolas Emmanue	DOM	PTF	2:1
presidents-cup-america-2026	Senior Men -68kg	R32	818	HARRIS Khalfani	USA	PEDRAZA Jeshuath	VEN	PTF	2:1
presidents-cup-america-2026	Senior Men -68kg	R16	823	SOUZA João Victor	BRA	PANOTES Jordan	USA	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R16	824	GARRIDO Jhon Deivi	COL	FLORES Diego	CHI	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	R16	825	ACUÑA Jose Luis	ARG	VALDES David	MEX	PTF	2:1
presidents-cup-america-2026	Senior Men -68kg	R16	826	GOMES João Vitor	BRA	HARRIS Khalfani	USA	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	QF	829	SOUZA João Victor	BRA	GARRIDO Jhon Deivi	COL	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	QF	830	ACUÑA Jose Luis	ARG	GOMES João Vitor	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	SF	832	ACUÑA Jose Luis	ARG	SOUZA João Victor	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -68kg	F	833	RODRIGUEZ Maikol	USA	ACUÑA Jose Luis	ARG	PTF	2:0
presidents-cup-america-2026	Senior Men -63kg	R64	601	MATTHAUS Carlos	BRA	ANDY Ming Pong	HKG	PTF	2:0
presidents-cup-america-2026	Senior Men -63kg	R64	602	SILVA Luis Paulo	BRA	FLORES Arian	PER	PTF	2:1
presidents-cup-america-2026	Senior Men -63kg	R64	603	PEREZ Erik	USA	ALVES Gabriel Bera	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -63kg	R64	604	HERNANDEZ Bastian	CHI	QUIÑÓNEZ Noah	DOM	PTF	2:1
presidents-cup-america-2026	Senior Men -63kg	R64	605	PEREIRA Gleidson G	BRA	CAMPBELL Israel	PAN	PTF	2:1
presidents-cup-america-2026	Senior Men -63kg	R64	606	CORTES Carlos	MEX	YEREMYAN Styopa	ARM	PTF	2:0
presidents-cup-america-2026	Senior Men -63kg	R64	607	MINER Nathen	USA	FERREIRA Kauan	BRA	PTF	2:0
presidents-cup-america-2026	Senior Men -63kg	R64	608	MAICA Carlos	CHI	CORONADO James	PAN	PTF	2:0
presidents-cup-america-2026	Senior Men -63kg	R64	609	KIM Seung Ju	CAN	RODRIGUEZ Joaquin	PER	PTF	2:1
presidents-cup-america-2026	Senior Men -63kg	R64	610	PUMA Jose	PER	YUPANQUI Fabian	PER	PTF	2:1
presidents-cup-america-2026	Senior Men -63kg	R64	611	RASHWAN Dawood	CAN	HEFFELFINGER-GARCI	PUR	PTF	2:0
presidents-cup-america-2026	Senior Men -63kg	R32	623	MATTHAUS Carlos	BRA	LIRA Victor August	BRA	PTF	2:1
