EventID	Division	Athlete	NOC	Placement
presidents-cup-america-2026	Senior Men -87kg	MEIRELLES Arthur	BRA	2
presidents-cup-america-2026	Senior Men -87kg	NWOGBAGA Ifunanya	USA	
presidents-cup-america-2026	Senior Men -87kg	CHUA James	USA	
presidents-cup-america-2026	Senior Men -87kg	DASENT-THOMSON Dan	TTO	
presidents-cup-america-2026	Senior Men -87kg	CASTRO Sebastian	PER	
presidents-cup-america-2026	Senior Men -87kg	BERNARDEZ Wilmer	HON	
presidents-cup-america-2026	Senior Men -87kg	RAMOS Juan Luis	CHI	
presidents-cup-america-2026	Senior Men -87kg	ROMERO Bruno	MEX	3
presidents-cup-america-2026	Senior Men -87kg	SOUZA Allif	BRA	
presidents-cup-america-2026	Senior Men -87kg	MUTZ Gerald	USA	
presidents-cup-america-2026	Senior Men -87kg	DI Mateo	ARG	
presidents-cup-america-2026	Senior Men -87kg	ALVAREZ Luis	VEN	
presidents-cup-america-2026	Senior Men -87kg	OSORIO Yesid F.	PUR	
presidents-cup-america-2026	Senior Men -87kg	GONCALVES Luiz Edu	BRA	3
presidents-cup-america-2026	Senior Men -87kg	SOLO Maicol Stiwar	COL	
presidents-cup-america-2026	Senior Men -87kg	SOW Abou	USA	
presidents-cup-america-2026	Senior Men -87kg	CASTILLO Sergio	USA	
presidents-cup-america-2026	Senior Men -87kg	GONZÁLEZ Gabriel	WT	
presidents-cup-america-2026	Senior Men -87kg	CECIL Chaney	USA	
presidents-cup-america-2026	Senior Men -87kg	HUYNH Kevin	USA	
presidents-cup-america-2026	Senior Men -87kg	CORRO Thiago Joaqu	ARG	
presidents-cup-america-2026	Senior Men -87kg	ANDRADE Hassani	PER	
presidents-cup-america-2026	Senior Men -87kg	RODRIGUEZ Michael	USA	1
presidents-cup-america-2026	Senior Men -80kg	CHURCHILL Joaquin	CHI	2
presidents-cup-america-2026	Senior Men -80kg	MERCIER Charlélie	CAN	
presidents-cup-america-2026	Senior Men -80kg	GOMEZTAGLE Uriel	MEX	
presidents-cup-america-2026	Senior Men -80kg	POLICELI Santino	ARG	
presidents-cup-america-2026	Senior Men -80kg	GONZALEZ Federico	URU	
presidents-cup-america-2026	Senior Men -80kg	BOURIEL Ayoub	CAN	
presidents-cup-america-2026	Senior Men -80kg	ORTOGALLI Kaua	BRA	
presidents-cup-america-2026	Senior Men -80kg	VILLA Jose Anderso	ECU	
presidents-cup-america-2026	Senior Men -80kg	ASSIS Vinicius	BRA	
presidents-cup-america-2026	Senior Men -80kg	SOTO Luis German	COL	
presidents-cup-america-2026	Senior Men -80kg	YOUNG Isaiah	USA	3
presidents-cup-america-2026	Senior Men -80kg	RODRIGUES Henrique	BRA	3
presidents-cup-america-2026	Senior Men -80kg	TEIXEIRA Ryan Henr	BRA	
presidents-cup-america-2026	Senior Men -80kg	HURTADO Jose Migue	MEX	
presidents-cup-america-2026	Senior Men -80kg	SOTO Amaury	PUR	
presidents-cup-america-2026	Senior Men -80kg	TREJOS Miguel	COL	
presidents-cup-america-2026	Senior Men -80kg	ROBLETO David	NCA	
presidents-cup-america-2026	Senior Men -80kg	FLORES Alejandro	WT	
presidents-cup-america-2026	Senior Men -80kg	NAVA Ruben	MEX	
presidents-cup-america-2026	Senior Men -80kg	RODRIGUES Andreyck	BRA	
presidents-cup-america-2026	Senior Men -80kg	NICKOLAS Cj	USA	1
presidents-cup-america-2026	Senior Men -74kg	RODRIGUES Victor	USA	1
presidents-cup-america-2026	Senior Men -74kg	DIAZ Luis Miguel	DOM	
presidents-cup-america-2026	Senior Men -74kg	LAM Ka Hei Tank	HKG	
presidents-cup-america-2026	Senior Men -74kg	AMARAL Matheus Leo	BRA	
presidents-cup-america-2026	Senior Men -74kg	QUINTEROS Damian M	ARG	
presidents-cup-america-2026	Senior Men -74kg	SHANAFELT Noah	USA	
presidents-cup-america-2026	Senior Men -74kg	ALVES Joao Paulo	BRA	
presidents-cup-america-2026	Senior Men -74kg	MOSTELLER Barron	USA	
presidents-cup-america-2026	Senior Men -74kg	FABI Enzo	CAN	
presidents-cup-america-2026	Senior Men -74kg	DOS Daniel Rogerio	BRA	
presidents-cup-america-2026	Senior Men -74kg	PAZ David Felipe	COL	
presidents-cup-america-2026	Senior Men -74kg	FRUTUOSO Joao Vito	BRA	
